,id,id_gen,entity,relation,value,probability,source,action,iteration,entity_words,value_word,entity_letters,value_letters,has_probability,e_generalizations,e_instancetype,e_populate,e_antireflexive,e_antisymmetric,e_range,v_generalizations,v_instancetype,v_populate,v_antireflexive,v_antisymmetric,v_range,label
0,976,x1005000977,chad_johnson,athleteplaysforteam,bengals,-1,None,yathleteplaysforteam;athlete;sportsteam,1004,2,1,11,7,0,None,None,None,None,None,None,None,None,None,None,None,None,1
1,1605,x1005001606,football,generalizations,sport,-1,None,ysport,195,1,1,8,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
2,2500,x1005002501,soccer,generalizations,sport,-1,None,ysport,120,1,1,6,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
3,2502,x1005002503,soccer,generalizations,hobby,-1,None,yhobby,278,1,1,6,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
4,2957,x1005002958,basketball,generalizations,sport,-1,None,ysport,120,1,1,10,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
5,2959,x1005002960,basketball,generalizations,hobby,-1,None,yhobby,73,1,1,10,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
6,56370,x1041000946,hockey,generalizations,sport,-1,None,ysport,1018,1,1,6,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
7,56371,x1041000947,hockey,generalizations,hobby,-1,None,yhobby,1019,1,1,6,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
8,56533,x1041001109,favre,athleteplaysforteam,new_york_jets,-1,None,nathleteplaysforteam;athlete;sportsteam,1039,1,3,5,11,0,None,None,None,None,None,None,None,None,None,None,None,None,0
9,62533,x1056001151,golf,generalizations,sport,-1,None,ysport,1018,1,1,4,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
10,62534,x1056001152,golf,generalizations,hobby,-1,None,yhobby,1051,1,1,4,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
11,67890,x1065001731,football,generalizations,sportsequipment,-1,None,ysportsequipment,601,1,1,8,15,0,None,None,None,None,None,None,item,common,TRUE,None,None,None,1
12,71986,x1071001741,baseball,generalizations,sport,-1,None,ysport,1018,1,1,8,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
13,81270,x1086002696,kerry_collins,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;coach;sportsleague,1085,2,1,12,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
14,81271,x1086002697,kerry_collins,athleteplaysforteam,titans,-1,None,yathleteplaysforteam;coach;sportsteam,1085,2,1,12,6,0,None,None,None,None,None,None,None,None,None,None,None,None,1
15,81426,x1086002852,kurt_warner,athleteplayssport,football,-1,None,yathleteplayssport;sport;sport,1085,2,1,10,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
